cid,time,compile,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4
55391,632.36,True,40612776,11355408,13442952,11186196,15340816,17427816,11052128,8967440,11054472,8808951,8693008,10780464,8526884,12580112,14667056,12422850,13583632,15670896,13413658
55390,224.581,True,20938304,3265488,5352312,3052975,7472080,9558352,3144571,2642896,4729200,2439866,2507728,4594464,2296136,3744720,5830936,3543936,4084688,6171224,3872101
55389,331.885,True,28780200,6610896,8696952,6463472,10338256,12423760,6076555,5304272,7389808,5168113,4521936,6607904,4377392,7229392,9314840,7095094,7716816,9802584,7570224
55388,290.09,True,19730408,5052176,7139208,4884703,9017104,11103592,4731429,4155152,6241672,3997226,3938064,6025008,3769792,5572368,7658800,5415695,5965584,8052336,5796139
55387,327.299,True,28949664,6451152,8537216,6304610,10485712,12571216,6223354,5214160,7299696,5081160,4849616,6935584,4706688,7126992,9212440,6996667,7643088,9728856,7500960
55386,244.573,True,27452184,8623568,10708088,8479126,12494288,14578256,8232018,7071184,9155184,6934631,6653392,8737824,6507016,9422288,11506200,9289611,10048976,12133208,9905155
55385,375.469,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55384,802.383,True,27072856,8561616,10646992,8415081,12379088,14463912,8114747,7050192,9135056,6911230,5784528,7869816,5636204,9356240,11441016,9221396,9982928,12068016,9832714
55383,542.266,True,23248136,6906832,8992208,6759745,10769360,12854184,6504894,5768144,7853008,5629897,5518288,7603576,5372812,7504848,9589624,7367684,7955408,10040496,7808816
55382,407.227,True,66330472,19403728,21489104,19255053,22111184,24196008,17847280,15328208,17413072,15191287,13611984,15697272,13465888,21201872,23286648,21066584,22578128,24663216,22432218
55381,186.841,True,24981496,6185936,8271320,6038060,10085328,12170152,5819330,5043152,7128016,4906705,4756432,6841720,4609180,6796240,8881016,6660144,7250896,9335984,7101802
55380,260.754,True,34575408,8884176,10970232,8736976,12517328,14602832,8255663,7172048,9257584,7037261,6795216,8881184,6652328,9732048,11817496,9599320,10346448,12432216,10202384
55379,252.525,True,121940504,12424656,14510760,12223003,16725456,18811008,12407825,9696720,11782304,9503823,9389520,11475536,9190380,14255568,16341064,14067211,15631824,17717640,15431549
55378,211.469,True,27344952,6452176,8537552,6305743,10208208,12293032,5941603,5202896,7287760,5065047,4551632,6636920,4406800,7066576,9151352,6931333,7554000,9639088,7405023
